3.652: [Full GC [PSYoungGen: 32K->0K(38208K)] [ParOldGen: 311035K->300479K(349568K)] 311067K->300479K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1646770 secs] [Times: user=0.29 sys=0.00, real=0.17 secs] 
3.854: [Full GC [PSYoungGen: 26444K->0K(38208K)] [ParOldGen: 347376K->248712K(349568K)] 373821K->248712K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1793010 secs] [Times: user=0.30 sys=0.01, real=0.17 secs] 
4.092: [Full GC [PSYoungGen: 24503K->0K(38208K)] [ParOldGen: 335199K->247667K(349568K)] 359702K->247667K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1713670 secs] [Times: user=0.31 sys=0.00, real=0.17 secs] 
4.277: [GC [PSYoungGen: 26531K->64K(38208K)] 274198K->274041K(387776K), 0.0135410 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
4.314: [GC [PSYoungGen: 28416K->64K(38208K)] 322167K->322021K(387776K), 0.0146390 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
4.329: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 321957K->232259K(349568K)] 322021K->232259K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1564500 secs] [Times: user=0.28 sys=0.00, real=0.16 secs] 
4.499: [GC [PSYoungGen: 25965K->64K(38208K)] 258224K->258288K(387776K), 0.0135890 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
4.530: [GC [PSYoungGen: 31967K->64K(38208K)] 290192K->290095K(387776K), 0.0190670 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
4.590: [Full GC [PSYoungGen: 28975K->15404K(38208K)] [ParOldGen: 333360K->346867K(349568K)] 362336K->362272K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1070220 secs] [Times: user=0.15 sys=0.01, real=0.11 secs] 
4.697: [Full GC [PSYoungGen: 15404K->15404K(38208K)] [ParOldGen: 346867K->346858K(349568K)] 362272K->362262K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1999020 secs] [Times: user=0.36 sys=0.00, real=0.20 secs] 
4.897: [Full GC [PSYoungGen: 15404K->0K(38208K)] [ParOldGen: 346858K->305139K(349568K)] 362262K->305139K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.2132440 secs] [Times: user=0.28 sys=0.00, real=0.21 secs] 
5.124: [GC [PSYoungGen: 22063K->0K(38208K)] 327203K->327203K(387776K), 0.0186570 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
5.143: [Full GC [PSYoungGen: 0K->0K(38208K)] [ParOldGen: 327203K->327202K(349568K)] 327203K->327202K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1949450 secs] [Times: user=0.35 sys=0.00, real=0.20 secs] 
5.355: [Full GC [PSYoungGen: 32768K->0K(38208K)] [ParOldGen: 327202K->347046K(349568K)] 359970K->347046K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1441860 secs] [Times: user=0.25 sys=0.01, real=0.14 secs] 
5.512: [Full GC [PSYoungGen: 23720K->0K(38208K)] [ParOldGen: 347046K->266043K(349568K)] 370766K->266043K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1809870 secs] [Times: user=0.29 sys=0.00, real=0.18 secs] 
5.705: [GC [PSYoungGen: 22256K->64K(38208K)] 288300K->288364K(387776K), 0.0113260 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
